 	 	"Talveaia pistikud B - state"	"1/1/105"	""	""	""	"DPST-1-11"	"Auto"
 	 	"Talveaia pistikud C - state"	"1/1/106"	""	""	""	"DPST-1-11"	"Auto"
"II korrus"	 	 	"2/-/-"	""	""	""	""	"Auto"
 	"Valgus"	 	"2/0/-"	""	""	""	""	"Auto"
 	 	"Koridori valgus - cmd"	"2/0/0"	""	""	""	""	"Auto"
 	 	"Koridori valgus - state"	"2/0/100"	""	""	""	""	"Auto"
"Õu"	 	 	"3/-/-"	""	""	""	""	"Auto"
 	"Valgus"	 	"3/0/-"	""	""	""	""	"Auto"
 	 	"Terrassi valgus - cmd"	"3/0/0"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Tagaukse kohal - cmd"	"3/0/1"	""	""	""	"DPST-1-1"	"Auto"
 	 	"Peaukse kohal - cmd"	"3/0/2"	""	""	""	""	"Auto"
 	 	"Terrassi valgus - state"	"3/0/100"	""	""	""	"DPST-1-11"	"Auto"
 	 	"Tagaukse kohal - state"	"3/0/101"	""	""	""	"DPST-1-11"	"Auto"
 	 	"Peaukse kohal - state"	"3/0/102"	""	""	""	""	"Auto"
 	"Tehno"	 	"3/1/-"	""	""	""	""	"Auto"
